,filename,count,count1,blob_hog_count
0,/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-58_Flatbush_Ave__Willoughby.jpg,0,4,2
1,/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-30_Flatbush_Ave__Willoughby.jpg,1,4,2
2,/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-59_Flatbush_Ave__Willoughby.jpg,2,4,1
3,/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-40_Flatbush_Ave__Willoughby.jpg,3,4,5
4,/home/rnam/Documents/ped/data/team500/2016-07-17-13-45-27_Flatbush_Ave__Willoughby.jpg,4,4,1
5,/home/rnam/Documents/ped/data/team500/2016-07-17-13-44-54_Flatbush_Ave__Willoughby.jpg,5,4,2
6,/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-24_Flatbush_Ave__Willoughby.jpg,6,4,0
7,/home/rnam/Documents/ped/data/team500/2016-07-17-13-45-45_Flatbush_Ave__Willoughby.jpg,7,4,0
8,/home/rnam/Documents/ped/data/team500/2016-07-17-13-39-12_Flatbush_Ave__Willoughby.jpg,8,4,3
9,/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-48_Flatbush_Ave__Willoughby.jpg,9,4,1
10,/home/rnam/Documents/ped/data/team500/2016-07-17-13-45-23_Flatbush_Ave__Willoughby.jpg,10,3,3
11,/home/rnam/Documents/ped/data/team500/2016-07-17-13-42-24_Flatbush_Ave__Willoughby.jpg,11,3,2
12,/home/rnam/Documents/ped/data/team500/2016-07-17-13-43-55_Flatbush_Ave__Willoughby.jpg,12,3,2
13,/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-09_Flatbush_Ave__Willoughby.jpg,13,3,1
14,/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-11_Flatbush_Ave__Willoughby.jpg,14,3,0
15,/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-04_Flatbush_Ave__Willoughby.jpg,15,3,2
16,/home/rnam/Documents/ped/data/team500/2016-07-17-13-43-21_Flatbush_Ave__Willoughby.jpg,16,2,1
17,/home/rnam/Documents/ped/data/team500/2016-07-17-13-36-44_Flatbush_Ave__Willoughby.jpg,17,1,0
18,/home/rnam/Documents/ped/data/team500/2016-07-17-13-44-53_Flatbush_Ave__Willoughby.jpg,18,0,1
19,/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-23_Flatbush_Ave__Willoughby.jpg,19,0,0
20,/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-29_Flatbush_Ave__Willoughby.jpg,20,0,2
21,/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-10_Flatbush_Ave__Willoughby.jpg,21,0,1
