cam_id,cctv_id,description,lat,long,people,ribbon,boro,zipcode
112,83,SIE @ Richmond Ave,40.614885,-74.157435,0,1,Staten Island,10314
121,129,LIE @ Kissena Blvd,40.738943,-73.815047,1,0,Queens,11367
125,145,Qns Blvd @ QnCnt Mall,40.7335677903,-73.8693237305,1,1,Queens,11373
154,170,Victory Blvd @ Jersey St,40.635735,-74.083777,1,1,Staten Island,10301
172,11,Baxter St @ Canal Street,40.7166231327,-73.9991855621,1,1,Manhattan,10013
198,37,Cross Bronx Expy @ E of Undercliff (GWB),40.84476,-73.924777,0,0,Bronx,10452
274,166,FDR Dr @ 111 ST,40.791666,-73.935403,0,1,Manhattan,10029
290,187,Northern Blvd @ 68 St,40.7536616175,-73.8985919952,1,1,Queens,11377
358,247,Hylan Blvd @ New Dorp Lane,40.570469,-74.109749,1,0,Staten Island,10306
421,438,Broadway @ 51 St,40.7612683753,-73.9835643768,1,1,Manhattan,10019
454,357,WBB-2 @ NOR Bklyn-Driggs,40.710702869,-73.9631795883,0,0,Brooklyn,11211
471,399,MHB-33 Bklyn LRW @ Ex Ramp,40.6981774996,-73.9865255356,0,2,Brooklyn,11201
488,421,Flatbush Ave and Atlantic Ave,40.6832090347,-73.9769983292,1,0,Brooklyn,11217
514,455,Amsterdam Ave @ 60 St,40.7702068285,-73.9868688583,1,1,Manhattan,10023
533,477,St Nicholas Ave @ 181 St,40.849657,-73.933675,9,9,Manhattan,10033
561,502,Gowanus Expy @ 92 St,40.616282,-74.026136,0,0,Brooklyn,11209
574,583,Van Wyck Expwy @ Rockaway Blvd.,40.674623,-73.801507,0,0,Queens,11436
595,524,Brooklyn Queens Expy @ Atlantic Ave,40.691605,-73.999207,0,0,Brooklyn,11201
620,536,Brooklyn Queens Expy @ Broadway St,40.708182,-73.957279,0,0,Brooklyn,11211
633,624,West Shore Expwy @ Meredith Blvd.,40.597303,-74.191232,9,0,Staten Island,10314
656,566,Long Island Expy @ 99 St,40.735932,-73.858634,0,0,Queens,11374
668,541,Brooklyn Queens Expwyat Stewart Avenue,40.725389,-73.93316,9,9,Brooklyn,11222
680,608,GCP07 EB at Ditmars Blvd - Ex9,40.760521,-73.857694,0,0,Queens,11368
730,678,Bruckner Blvd @ Lincoln Ave,40.807681,-73.929512,0,1,Bronx,10454
743,691,Springfield Blvd @ Merrick Blvd,40.680209,-73.753356,1,2,Queens,11413
806,393,MHB-27 Bklyn N URDWY @ Twr,40.705112,-73.989272,0,2,Bridge,Bridge
835,729,Farmers Blvd @ N Conduit Ave,40.667436,-73.766763,1,1,Queens,11434
838,734,Grand St @ Bowery,40.718427,-73.99483,1,1,Manhattan,10013
857,751,Stillwell Ave @ Neptune Ave,40.579195,-73.981856,9,9,Brooklyn,11224
871,763,Hamilton Ave @ Hamilton Pl @ 15 St (N SR),40.669201,-73.99665,1,1,Brooklyn,11215
897,786,Jackie Robinson Pkwy @ Queens Blvd,40.714811,-73.829108,0,0,Queens,11375
910,798,Park Ave @ 96 St,40.786516,-73.952456,1,1,Manhattan,10029
944,832,BQE-23-EB_at_Division_Ave-Ex31,40.707191,-73.957735,9,9,Brooklyn,11211
956,844,VWE-21A-NB_at_QnsBlvd-Et.Rmp-Ex9,40.711512,-73.822072,9,9,Queens,11435
311,image,Brooklyn Battery Tunnel @ West Street,40.704567,-74.015205,999,999,Manhattan,10004
176,15,E 57 St @ QBB,40.7584403234,-73.9649391174,1,1,Manhattan,10022
313,image,Marine Parkway @ North Bound,40.58091,-73.8910388,999,999,Brooklyn,11234
124,146,Qns Blvd @ 65 Ave,40.7279742537,-73.8576507568,0,1,Queens,11374
317,image,Throgs Neck Bridge @ Bronx Bound,40.821165,-73.814488,999,999,Bronx,10465
979,867,Northern Blvd @ 61 St,40.75391,-73.901201,1,1,Queens,11377
980,868,BB – 25 North Rdwy @ West of Manhattan Twr,40.707558,-73.998581,0,1,Bridge,Bridge
1000,888,BB-29 North East Manhattan Tower,40.707189,-73.998376,0,1,Bridge,Bridge
1017,904,Bruckner Expwy (BRE-03) @ Witier St Ex 49,40.822617,-73.885982,0,0,Bronx,10459
1028,914,10 Ave @ Dyer Ave,40.752424,-74.000899,1,0,Manhattan,10001
1031,917,BB – 52A Brooklyn Tower – North Rdwy,40.704173,-73.994281,0,1,Brooklyn,11201
1036,922,Webster Ave @ E 165,40.827872,-73.912005,1,0,Bronx,10456
119,127,GCP @ 166 St,40.716879,-73.800069,0,1,Queens,11432
120,143,Cross Island Pkwy @ Union Tpke,40.7401688594,-73.7265014648,0,2,Queens,11426
128,159,Belt Pkwy @ 130 St,40.6666,-73.8104,0,2,Queens,11420
163,2,Church Street @ Vesey,40.7112233528,-74.0097856522,1,1,Manhattan,10007
164,3,2 Ave @ 59 St (QBB),40.7599031239,-73.9641237259,0,1,Manhattan,10022
165,4,2 Ave @ 36 St-Midtown Tunnel,40.7453386975,-73.9748954773,1,1,Manhattan,10016
