,topy,boty,topx,botx,height,width
0,39,59,189,204,20,15
1,36,64,225,246,28,21
2,39,64,278,296,25,18
3,40,63,305,323,23,18
4,54,74,169,184,20,15
5,98,122,37,55,24,18
6,140,167,61,81,27,20
7,29,46,8,20,17,12
8,24,44,31,46,20,15
9,27,49,59,76,22,17
10,190,216,49,69,26,20
11,150,184,13,39,34,26
12,178,228,170,208,50,38
13,175,229,103,143,54,40
14,56,83,98,118,27,20
15,56,77,121,136,21,15
16,77,100,198,216,23,18
17,73,103,249,271,30,22
18,44,69,324,343,25,19
19,101,119,89,102,18,13
20,86,106,100,115,20,15
21,29,50,134,149,21,15
22,55,78,177,195,23,18
23,48,62,72,82,14,10
24,76,112,284,311,36,27
25,58,73,234,245,15,11
26,78,94,251,263,16,12
27,134,161,313,333,27,20
28,38,55,83,96,17,13
29,80,107,51,71,27,20
30,66,85,10,24,19,14
31,44,66,15,31,22,16
32,46,71,30,49,25,19
33,46,61,168,179,15,11
34,154,203,1,38,49,37
35,127,145,42,55,18,13
36,100,117,53,66,17,13
37,46,66,77,91,20,14
38,51,73,124,140,22,16
39,1,18,10,23,17,13
40,5,24,95,109,19,14
41,64,80,263,274,16,11
42,95,117,284,300,22,16
43,86,111,296,315,25,19
44,63,88,259,277,25,18
45,49,74,37,56,25,19
46,34,51,66,79,17,13
47,7,22,127,139,15,12
48,19,44,198,216,25,18
49,120,142,328,345,22,17
50,137,165,2,24,28,22
51,158,187,194,216,29,22
52,102,121,43,58,19,15
53,78,100,328,345,22,17
54,36,70,287,312,34,25
55,176,227,283,322,51,39
56,62,75,296,305,13,9
57,63,78,43,54,15,11
58,43,56,266,276,13,10
59,66,83,326,339,17,13
60,80,102,278,294,22,16
61,39,49,113,121,10,8
62,83,106,14,31,23,17
63,37,48,224,232,11,8
64,40,50,292,300,10,8
65,36,46,140,147,10,7
66,58,76,233,246,18,13
67,116,139,301,318,23,17
68,71,90,60,75,19,15
69,199,233,173,198,34,25
70,172,198,218,237,26,19
71,116,144,71,91,28,20
72,66,87,4,20,21,16
73,28,46,7,21,18,14
74,30,49,59,73,19,14
75,75,98,86,103,23,17
76,51,76,168,187,25,19
77,56,83,255,275,27,20
78,61,83,222,238,22,16
79,65,88,305,323,23,18
80,40,68,313,334,28,21
81,196,226,298,320,30,22
82,125,147,128,145,22,17
83,58,78,124,139,20,15
84,94,115,140,156,21,16
85,110,137,14,34,27,20
86,23,37,26,37,14,11
87,25,43,101,114,18,13
88,27,47,134,150,20,16
89,37,55,149,162,18,13
90,71,90,153,167,19,14
91,32,47,227,239,15,12
92,27,38,216,224,11,8
93,27,38,185,193,11,8
94,37,52,268,279,15,11
95,55,70,210,221,15,11
96,75,87,126,135,12,9
97,89,106,318,331,17,13
98,72,89,230,243,17,13
99,51,63,161,170,12,9
100,54,67,246,256,13,10
101,90,107,26,38,17,12
102,111,126,244,256,15,12
103,95,111,257,269,16,12
104,39,54,173,184,15,11
105,107,129,228,245,22,17
106,129,146,277,290,17,13
107,131,151,246,261,20,15
108,83,95,63,72,12,9
109,66,82,137,149,16,12
110,85,104,188,202,19,14
111,122,144,27,43,22,16
112,119,139,266,281,20,15
113,154,185,310,333,31,23
114,87,102,195,207,15,12
115,58,72,251,262,14,11
116,74,92,95,108,18,13
117,132,158,33,53,26,20
118,39,56,104,117,17,13
