,topy,boty,topx,botx,height,width
0,179,232,237,277,53,40
1,170,220,309,346,50,37
2,167,217,284,321,50,37
3,105,127,141,158,22,17
4,112,137,185,204,25,19
5,127,160,277,302,33,25
6,130,162,220,244,32,24
7,115,143,206,227,28,21
8,102,125,278,296,23,18
9,93,115,172,188,22,16
10,139,181,311,342,42,31
11,105,129,316,333,24,17
12,110,137,221,242,27,21
13,124,161,248,276,37,28
14,64,82,204,218,18,14
15,68,87,223,237,19,14
16,92,112,311,326,20,15
17,82,106,298,317,24,19
18,86,108,306,322,22,16
19,90,110,322,337,20,15
20,90,115,331,349,25,18
21,95,123,337,358,28,21
22,71,92,315,330,21,15
23,69,87,304,317,18,13
24,44,54,91,98,10,7
25,44,61,60,73,17,13
26,96,119,49,66,23,17
27,102,121,173,188,19,15
28,102,127,194,213,25,19
29,115,144,288,310,29,22
30,110,135,271,290,25,19
31,75,95,163,178,20,15
32,107,131,220,238,24,18
33,103,127,209,226,24,17
34,98,123,314,333,25,19
35,102,122,164,179,20,15
36,93,128,161,187,35,26
37,87,117,282,304,30,22
38,79,107,267,288,28,21
39,97,119,326,342,22,16
40,84,116,300,324,32,24
41,79,106,314,334,27,20
42,57,78,275,291,21,16
43,54,73,33,48,19,15
44,52,68,50,62,16,12
45,39,54,104,115,15,11
46,61,78,290,303,17,13
47,107,135,318,338,28,20
48,100,127,303,323,27,20
49,107,127,299,314,20,15
50,101,129,279,300,28,21
51,81,105,274,292,24,18
52,85,101,290,302,16,12
53,88,110,6,22,22,16
54,78,93,286,297,15,11
55,75,88,253,264,13,11
56,154,169,22,33,15,11
57,149,164,36,48,15,12
58,148,162,42,53,14,11
59,192,235,237,269,43,32
60,171,212,48,79,41,31
61,180,214,39,65,34,26
62,203,237,41,66,34,25
63,51,61,243,250,10,7
64,115,146,328,351,31,23
65,86,103,83,96,17,13
66,87,105,89,102,18,13
67,91,122,0,23,31,23
68,88,114,327,346,26,19
69,72,93,325,341,21,16
70,61,80,310,324,19,14
71,41,57,91,103,16,12
72,51,66,46,57,15,11
73,52,68,37,49,16,12
74,116,144,15,36,28,21
75,88,105,53,66,17,13
76,84,105,77,92,21,15
77,87,107,100,115,20,15
78,95,121,271,291,26,20
79,78,97,261,275,19,14
80,112,142,305,327,30,22
81,112,143,317,340,31,23
82,81,102,126,141,21,15
83,102,131,290,312,29,22
84,65,84,256,270,19,14
85,59,72,208,217,13,9
86,69,85,268,279,16,11
87,71,83,256,264,12,8
88,73,87,260,271,14,11
89,56,65,201,208,9,7
90,150,172,37,54,22,17
91,146,168,7,24,22,17
92,137,156,22,37,19,15
93,137,158,42,58,21,16
94,128,149,67,82,21,15
95,138,161,314,332,23,18
96,151,173,332,348,22,16
97,176,190,17,28,14,11
98,144,156,44,52,12,8
99,154,167,36,45,13,9
100,168,223,274,315,55,41
101,165,220,248,289,55,41
102,161,205,227,260,44,33
103,139,177,214,242,38,28
104,129,164,224,250,35,26
105,121,157,205,232,36,27
106,110,142,274,297,32,23
107,101,128,206,226,27,20
108,101,128,183,203,27,20
109,58,68,46,54,10,8
110,57,70,29,39,13,10
111,74,90,153,165,16,12
112,41,54,161,170,13,9
113,77,95,98,111,18,13
114,80,106,82,102,26,20
115,64,89,223,242,25,19
116,108,145,269,297,37,28
117,107,135,291,311,28,20
118,46,61,180,192,15,12
119,56,71,283,295,15,12
120,56,71,289,301,15,12
121,89,107,224,238,18,14
122,77,93,23,35,16,12
123,88,111,260,277,23,17
124,84,105,279,295,21,16
125,83,105,287,304,22,17
126,86,109,327,344,23,17
127,85,107,340,356,22,16
128,76,96,262,277,20,15
129,77,97,93,108,20,15
