,location,camera_id,borough
0,1 Ave @ 110 St,368,Manhattan
1,1 Ave @ 124 St,360,Manhattan
2,1 Ave @ 23 St,361,Manhattan
3,1 Ave @ 42 St,550,Manhattan
4,1 Ave @ 62 St,940,Manhattan
5,1 Ave @ 79 St,Inactive,Manhattan
6,1 Ave @ 86 St,370,Manhattan
7,1 Ave @ 96 St,537,Manhattan
8,1 Ave @ E 14 St,789,Manhattan
9,1 Ave and 34 St,Inactive,Manhattan
10,10 Ave @ 57 St,828,Manhattan
11,11 Ave @ 34 ST,Inactive,Manhattan
12,11 Ave @ 42 St,Inactive,Manhattan
13,11 Ave @ 57 St,827,Manhattan
14,12 Ave @ 14 St,Inactive,Manhattan
15,12 Ave @ 22 St,547,Manhattan
16,12 Ave @ 34 St,545,Manhattan
17,12 Ave @ 42 St,544,Manhattan
18,12 Ave @ 57 St,543,Manhattan
19,2 Ave @ 110 St,Inactive,Manhattan
20,2 Ave @ 125 St,247,Manhattan
21,2 Ave @ 23 St,794,Manhattan
22,2 Ave @ 36 St-Midtown Tunnel,165,Manhattan
23,2 Ave @ 42 St,551,Manhattan
24,2 Ave @ 49 St,Inactive,Manhattan
25,2 Ave @ 58 St,472,Manhattan
26,2 Ave @ 59 St (QBB),164,Manhattan
27,2 Ave @ 74 St,934,Manhattan
28,2 Ave @ E 14 St,846,Manhattan
29,207 ST @ 9 Ave,328,Manhattan
30,3 Ave @ 23 St,495,Manhattan
31,3 AVE @ 34 ST,403,Manhattan
32,3 Ave @ 42 St,398,Manhattan
33,3 Ave @ 49 St,410,Manhattan
34,3 Ave @ 57 St,399,Manhattan
35,3 Ave @ 59 St,400,Manhattan
36,3 Ave @ E 14 St,845,Manhattan
37,5 Ave @ 23 St,168,Manhattan
38,5 Ave @ 34 St,415,Manhattan
39,5 Ave @ 42 St,523,Manhattan
40,5 Ave @ 49 St,169,Manhattan
41,5 Ave @ 57 St,409,Manhattan
42,5 Ave @ 65 St,906,Manhattan
43,5 Ave @ 66 St,907,Manhattan
44,5 Ave @ 72 St,Inactive,Manhattan
45,5 Ave @ 96 St,908,Manhattan
46,6 Ave @ 14 St,509,Manhattan
47,6 Ave @ 23 St,511,Manhattan
48,6 Ave @ 34 St,170,Manhattan
49,6 Ave @ 42 St,173,Manhattan
50,6 Ave @ 49 St,171,Manhattan
